time_identifier,year_breakdown,time_period,geographic_level,country_code,country_name,school_type,characteristic_group,characteristic,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor White and Asian,88203,31431433,1390275,1036294,353981,4.4232,3.297,1.1262,8772,9.94524,2794077,489056,300267,188789,17.50331,10.74655,6.75676,766203,83045,39139,10553,67,28978,:,17772,83899,1029656,104391,22781,206479,18336,351987,1381643
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other Mixed background,138496,48740132,2288960,1639245,649715,4.69625,3.36323,1.33302,15742,11.36639,4924797,869719,514923,354796,17.66,10.45572,7.20428,1205640,135087,44030,13456,484,42070,:,40898,148401,1630066,157344,50502,398470,39824,646140,2276206
Academic year,six half terms,201617,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Asian Total,726413,257056916,11407391,8415176,2992215,4.43769,3.27366,1.16403,66900,9.20964,21367241,3299671,2068780,1230891,15.44266,9.68202,5.76065,5801926,630642,1084954,73170,479,175849,:,87980,515672,8370672,1287907,106327,1419137,165240,2978611,11349283
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Indian,196283,69350356,2484127,1916814,567313,3.582,2.76396,0.81804,11812,6.01784,3613216,552502,368319,184183,15.29114,10.19366,5.09748,1402929,154801,106023,29295,201,61007,:,10560,141201,1906017,286877,19043,228874,28389,563183,2469200
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Pakistani,293716,104329114,5388241,3831155,1557086,5.16466,3.67218,1.49248,35348,12.03475,11551624,1790569,1080797,709772,15.50058,9.35623,6.14435,2511679,272803,685770,21518,97,59060,:,51602,205032,3807561,675972,52602,740232,82001,1550807,5358368
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Bangladeshi,115811,41243198,1938269,1454420,483849,4.69961,3.52645,1.17316,11042,9.5345,3621214,551162,354713,196449,15.22037,9.79542,5.42495,1048484,102031,188135,5198,31,19246,:,15134,70808,1449067,165703,20255,268488,27831,482277,1931344
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other Asian background,120603,42134248,1596754,1212787,383967,3.78968,2.87839,0.91129,8698,7.21209,2581187,405438,264951,140487,15.70742,10.2647,5.44273,838834,101007,105026,17159,150,36536,:,10684,98631,1208027,159355,14427,181543,27019,382344,1590371
Academic year,six half terms,201617,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Black Total,392152,136631289,4644815,3293056,1351759,3.39953,2.41018,0.98935,27859,7.10413,8074158,1415301,829142,586159,17.52878,10.26908,7.25969,2213836,319099,190756,28424,148,57241,:,156306,319347,3285157,257231,117016,851010,122692,1347949,4633106
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Black Caribbean,82297,28733701,1367355,893445,473910,4.75872,3.1094,1.64932,10418,12.65903,3264508,584716,319036,265680,17.91131,9.77287,8.13844,621224,78924,3311,7628,48,15555,:,61873,103794,892357,71687,50730,313398,37079,472894,1365251
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Black African,258346,89999216,2606489,1940526,665963,2.89612,2.15616,0.73997,12990,5.02814,3498344,594349,375233,219116,16.98944,10.72602,6.26342,1275843,196262,173722,17714,78,32205,:,74018,165416,1935258,146411,47291,401267,68853,663822,2599080
Academic year,six half terms,201617,National,E92000001,England,Total,Minor ethnic groups,Ethnicity Minor Any other black background,51509,17898372,670971,459085,211886,3.74878,2.56495,1.18383,4451,8.64121,1311306,236236,134873,101363,18.01532,10.28539,7.72993,316769,43913,13723,3082,22,9481,:,20415,50137,457542,39133,18995,136345,16760,211233,668775
Academic year,six half terms,201617,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Chinese,28159,9893785,233434,178690,54744,2.3594,1.80608,0.55332,871,3.09315,248550,40034,25265,14769,16.10702,10.16496,5.94206,118637,21465,846,5481,151,12353,:,1075,17422,177430,31381,2574,17068,3278,54301,231731
Academic year,six half terms,201617,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Any Other Ethnic Group,125140,43014364,1898794,1314865,583929,4.41433,3.0568,1.35752,12144,9.70433,3506673,582505,330236,252269,16.61133,9.41736,7.19397,876014,121778,138822,7815,1378,33411,:,25000,105521,1309739,194172,22874,322298,40695,580039,1889778
Academic year,six half terms,201617,National,E92000001,England,Total,Minority ethnic total,Ethnicity Minority Ethnic Group,2125386,744142743,33567468,23715096,9852372,4.51089,3.1869,1.32399,221883,10.43966,68180604,11723753,6811061,4912692,17.19514,9.98973,7.20541,16799203,1929418,1570720,181125,157634,529097,:,513107,1897414,23577718,2940178,512417,5723376,622612,9798583,33376301
Academic year,six half terms,201617,National,E92000001,England,Total,Major ethnic groups,Ethnicity Major Unclassified,100876,28369908,1588422,1081163,507259,5.59897,3.81095,1.78802,16483,16.33986,3854980,769659,434568,335091,19.96532,11.2729,8.69242,770174,88970,26915,7249,5232,22335,:,36578,115328,1072781,94136,27897,349159,32893,504085,1576866
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 1 and below,698370,251243984,11191644,8416460,2775184,4.45449,3.34992,1.10458,67096,9.60751,22159225,3428639,2278631,1150008,15.47274,10.28299,5.18975,6688777,641100,169351,243,34583,257419,:,33329,496696,8321498,1242120,206006,1171242,123975,2743343,11064841
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 2,682288,246493859,9916836,7288591,2628245,4.02316,2.95691,1.06625,53902,7.90018,17751956,2748905,1753932,994973,15.48508,9.88022,5.60486,5676140,572845,169325,172,34590,241360,:,40813,473291,7208536,1192310,188674,1105161,112722,2598867,9807403
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 3,670767,241695118,9465736,6914909,2550827,3.9164,2.861,1.05539,52036,7.75769,17078652,2660061,1677579,982482,15.57536,9.82267,5.75269,5315850,552626,172553,283,33594,234708,:,52717,469571,6831902,1124425,184524,1098878,113274,2521101,9353003
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 4,672283,242967196,9632154,7094370,2537784,3.96438,2.91989,1.0445,53310,7.9297,17597678,2745920,1757566,988354,15.60388,9.98749,5.61639,5477100,549845,174070,432,31843,231327,:,62338,481716,7008671,1086716,175524,1129994,114522,2506756,9515427
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 5,644307,233489789,9383320,6989099,2394221,4.01873,2.99332,1.02541,52369,8.12796,17458461,2758721,1792432,966289,15.80163,10.26684,5.53479,5388158,535534,168549,341,33683,207789,:,69625,501267,6904946,990604,152307,1110400,112543,2365854,9270800
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 6,614982,225725259,9032302,6792657,2239645,4.00146,3.00926,0.9922,48414,7.87243,16556501,2671422,1756468,914954,16.13518,10.60893,5.52625,5173724,537266,162339,524,25809,179050,:,79129,554250,6712091,878740,138031,1088040,108586,2213397,8925488
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 7,603468,217923046,9575640,7283827,2291813,4.39405,3.34238,1.05166,58575,9.7064,19480051,3476530,2207433,1269097,17.84662,11.33176,6.51485,5649009,563421,142150,268,14951,108041,:,212963,572467,7263270,568827,48979,1532698,136081,2286585,9549855
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 8,593672,212898051,11005740,8057573,2948167,5.16949,3.78471,1.38478,74849,12.6078,24678531,4647559,2833631,1813928,18.8324,11.48217,7.35023,6041247,713765,141188,447,14411,114098,:,318416,693298,8036870,622105,80273,2073984,166947,2943309,10980179
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 9,575776,206344344,11843386,8432234,3411152,5.73962,4.08649,1.65314,85325,14.81913,28148037,5573809,3289519,2284290,19.80177,11.6865,8.11527,6180294,807995,139638,1668,13037,107320,:,382904,776400,8409256,588537,118040,2499748,199178,3405503,11814759
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 10,551588,198469465,12158812,8413851,3744961,6.12629,4.23937,1.88692,89151,16.16261,29701415,6250855,3576541,2674314,21.04565,12.04165,9.004,6035788,832066,130139,19780,10206,88422,:,406052,860147,8382600,479592,168129,2853733,230822,3732276,12114876
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 11,537105,160876708,9930246,6944999,2985247,6.17258,4.31697,1.85561,85020,15.82931,24429118,5375162,3127702,2247460,22.00309,12.80317,9.19992,4586585,655796,73090,595121,5534,34212,:,232376,740877,6923591,199804,173880,2409369,193963,2977016,9900607
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year 12 and above,606,155207,10694,6607,4087,6.89015,4.2569,2.63326,124,20.46205,29377,5958,3395,2563,20.28117,11.55666,8.72451,3410,501,103,1275,2,162,:,25,1023,6501,121,174,2165,1475,3935,10436
Academic year,six half terms,201617,National,E92000001,England,Total,NC Year,NC Year Not followed or missing,54557,1934784,328777,160308,168469,16.99296,8.28558,8.70738,24105,44.18315,740302,294361,132982,161379,39.76229,17.96321,21.79908,64551,9248,7530,261,2729,1968,:,12444,60442,159173,10829,3183,140358,12262,166632,325805
Academic year,six half terms,201617,National,E92000001,England,Total,FSM,FSM eligible,1021991,355602296,25828735,16270430,9558305,7.26338,4.57546,2.68792,231042,22.60705,75220393,14734076,7950825,6783251,19.58787,10.57004,9.01784,11697079,1375528,334607,45941,60819,200065,:,706934,1738687,16159660,1195306,661736,7129739,519609,9506390,25666050
Academic year,six half terms,201617,National,E92000001,England,Total,FSM,FSM Not eligible,5824247,2083047973,87345012,66389166,20955846,4.19313,3.18712,1.00602,489347,8.40189,159924750,27625150,18117864,9507286,17.27384,11.32899,5.94485,50534317,5591382,1308093,574640,191425,1605140,:,1183850,4885643,65874490,7779056,973251,10947085,1094978,20794370,86668860
Academic year,six half terms,201617,National,E92000001,England,Total,FSM,FSM unclassified,53531,1566541,301540,135889,165651,19.24878,8.67446,10.57432,23887,44.62274,664161,278676,119122,159554,41.9591,17.93571,24.02339,49237,5098,7325,234,2728,671,:,12347,57115,134755,10368,2737,138946,11763,163814,298569
Academic year,six half terms,201617,National,E92000001,England,Total,FSM ever 6,FSM eligible in last 6 years,1879330,652501543,43169215,27809890,15359325,6.61596,4.26204,2.35391,371833,19.7854,119181230,22808393,12492217,10316176,19.13757,10.4817,8.65587,20186148,2302165,606597,96974,77972,364113,:,1174452,2814350,27622771,2319767,983999,11108313,864168,15276247,42899018
Academic year,six half terms,201617,National,E92000001,England,Total,FSM ever 6,FSM not eligible in last 6 years,4954003,1780277739,69363385,54514112,14849273,3.89621,3.06211,0.8341,348024,7.02511,114288962,19046106,13344135,5701971,16.66487,11.67579,4.98908,41848053,4642777,1032059,521609,166252,1433484,:,687849,3746374,54078457,6612431,642902,6732424,733045,14720802,68799259
Academic year,six half terms,201617,National,E92000001,England,Total,FSM ever 6,FSM unclassified in last 6 years,66436,7437528,942687,471483,471204,12.67474,6.33924,6.33549,24419,36.75567,2339112,783403,351459,431944,33.49147,15.02532,18.46615,246432,27066,11369,2232,10748,8279,:,40830,120721,467677,52532,10823,375033,29137,467525,935202
Academic year,six half terms,201617,National,E92000001,England,Total,SEN Provision,SEN provision No identified SEN,5803794,2071163584,88667425,65229994,23437431,4.28104,3.14944,1.13161,522823,9.0083,170457899,29018310,17613990,11404320,17.02374,10.33334,6.6904,50488372,5117960,1408301,549232,179242,1459577,:,1067475,4475059,64745218,7721190,1172212,13137906,1240819,23272127,88017345
Academic year,six half terms,201617,National,E92000001,England,Total,SEN Provision,SEN provision Statement or EHCP,197584,69305573,5676491,4407266,1269225,8.19053,6.35918,1.83135,47100,23.83796,15695053,3636580,2637716,998864,23.17023,16.80603,6.3642,2613280,625963,44278,16064,6761,150026,:,159972,751756,4368100,172353,71930,945649,66269,1256201,5624301
Academic year,six half terms,201617,National,E92000001,England,Total,SEN Provision,SEN provision SEN Support,845838,298289186,18845954,13029771,5816183,6.31801,4.36817,1.94985,150930,17.84384,49039344,9718022,5822842,3895180,19.81679,11.87382,7.94297,9133234,1223325,190320,55325,66682,195652,:,663997,1399631,12928166,1081911,391036,4000210,307911,5781068,18709234
Academic year,six half terms,201617,National,E92000001,England,Total,SEN Provision,SEN provision Unclassified,52553,1458467,285417,128454,156963,19.56966,8.80747,10.76219,23423,44.57024,617008,264990,113263,151727,42.94758,18.35681,24.59077,45747,4760,7126,194,2287,621,:,11687,54999,127421,9276,2546,132005,11351,155178,282599
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Autistic spectrum disorder,93711,33426701,2175197,1678970,496227,6.50736,5.02284,1.48452,16239,17.32881,5471965,1195098,841486,353612,21.84038,15.37813,6.46225,1101253,166613,15061,6727,1766,54702,:,50525,265845,1662492,89534,33981,340903,27752,492170,2154662
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Hearing impairment,17729,6346720,363599,279916,83683,5.72893,4.4104,1.31852,2700,15.22929,919926,161539,111479,50060,17.56,12.11826,5.44174,187122,51525,6418,1699,722,5504,:,4928,19980,277898,22638,4249,51009,4941,82837,360735
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Moderate learning difficulty,235680,83856158,5269935,3540360,1729575,6.28449,4.22194,2.06255,42290,17.94382,14249444,2655345,1516761,1138584,18.63473,10.64435,7.99037,2577140,321328,63658,10644,30266,60194,:,125634,327276,3516140,318495,108698,1200958,91814,1719965,5236105
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Multi-sensory impairment,2217,799292,50930,42490,8440,6.37189,5.31595,1.05593,378,17.05007,130881,25568,20512,5056,19.5353,15.67225,3.86305,28083,7601,440,39,138,772,:,508,4488,42069,2270,697,4849,561,8377,50446
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need No specialist assessment,34309,12297491,706105,491348,214757,5.74186,3.99551,1.74635,5351,15.59649,1802584,317591,188254,129337,17.61865,10.44356,7.17509,364008,39002,11728,1128,3505,8518,:,16052,41234,485175,48557,15454,134878,13570,212459,697634
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Other difficulty/disability,46051,16373314,1177633,880004,297629,7.19239,5.37462,1.81777,9502,20.63365,3221189,677684,471692,205992,21.03832,14.64341,6.39491,606260,112027,9904,4163,3111,14900,:,29835,93864,874064,53949,19672,203532,19337,296490,1170554
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Physical disability,28056,10078171,893788,762370,131418,8.86855,7.56457,1.30399,7930,28.2649,2783569,583842,491467,92375,20.97458,17.656,3.31858,493327,171369,6805,1799,626,14954,:,4124,62427,755431,32549,8810,80164,8966,130489,885920
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Profound and multiple learning difficulty,8261,3000020,423665,394870,28795,14.12207,13.16225,0.95983,3571,43.22721,1293321,344783,321080,23703,26.65873,24.82601,1.83272,250204,69425,3494,84,184,11635,:,535,57632,393193,5652,3237,17298,2449,28636,421829
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Social emotional and mental health,166980,57163268,5123446,3307659,1815787,8.96283,5.78634,3.17649,45062,26.98647,14175254,3500995,2034618,1466377,24.69793,14.35331,10.34463,1776422,273781,21031,18566,5508,42565,:,414184,721282,3273339,183798,118569,1421240,78774,1802381,5075720
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Speech language and communications needs,184775,66650688,3468017,2531977,936040,5.20327,3.79888,1.4044,24162,13.07644,8252027,1412071,894984,517087,17.11181,10.84563,6.26618,1867811,260937,56812,4543,10165,51395,:,54206,205941,2511810,246737,71862,560262,50336,929197,3441007
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Severe learning difficulty,25118,9092942,678392,585386,93006,7.46064,6.43781,1.02284,5601,22.29875,1987071,392381,325956,66425,19.7467,16.40384,3.34286,372309,99560,7779,195,780,34469,:,4697,63335,583124,18760,7570,58408,7658,92396,675520
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Specific learning difficulty,129652,46196070,2714267,1956474,757793,5.87554,4.23515,1.64038,20224,15.59868,6815374,1281221,784749,496472,18.79898,11.51439,7.28459,1455627,179192,14811,17274,8846,29644,:,68956,169868,1944218,146148,46018,518017,42902,753085,2697303
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Visual impairment,10007,3582140,224025,174238,49787,6.25394,4.86408,1.38987,1739,17.37784,599312,109497,78692,30805,18.27045,13.13039,5.14006,114193,34495,3740,913,217,3595,:,2813,12946,172912,12931,2900,30598,3016,49445,222357
Academic year,six half terms,201617,National,E92000001,England,Total,SEN primary need,SEN primary need Unclassified,60876,18731784,1253446,810975,442471,6.69155,4.32941,2.36214,13281,21.81648,3032480,696987,378828,318159,22.98406,12.49235,10.49171,552755,62433,12917,3615,7609,12831,:,46972,105269,804401,72246,21249,323743,22104,439342,1243743
Academic year,six half terms,201617,National,E92000001,England,Total,First Language,First language Known or believed to be English,5573966,1981330360,93273752,68628010,24645742,4.70763,3.46373,1.2439,613582,11.008,196807481,36271517,22558254,13713263,18.42995,11.46209,6.96786,52227319,5831590,425873,538740,251025,1469137,:,1687092,5660063,68090839,6861529,1422853,14933938,1248025,24466345,92557184
Academic year,six half terms,201617,National,E92000001,England,Total,First Language,First language Known or believed to be other than English,1310974,454162371,19956197,14003636,5952561,4.39407,3.0834,1.31067,128378,9.79257,38426105,6255506,3568606,2686900,16.27931,9.28693,6.99238,9938252,1126634,1216242,80907,3686,334130,:,210369,1005531,13915751,2107781,211153,3227481,370986,5917401,19833152
Academic year,six half terms,201617,National,E92000001,England,Total,First Language,First language Unclassified,14829,4724079,245338,163839,81499,5.19335,3.46817,1.72518,2316,15.61805,575718,110879,60951,49928,19.25926,10.58695,8.6723,115062,13784,7910,1168,261,2609,:,5670,15851,162315,15420,3718,54351,7339,80828,243143
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Total,Total,3909500,1404325264,56595915,41781439,14814476,4.03011,2.9752,1.05492,325229,8.31894,103578766,16112021,10246778,5865243,15.55533,9.89274,5.66259,32519361,3173736,987526,1952,193796,1277823,:,321948,2811668,41287810,6400983,1022005,6549627,666875,14639490,55927300
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Gender,Gender male,1993459,715709716,29222133,21620935,7601198,4.08296,3.02091,1.06205,170808,8.56842,54310175,8627927,5549594,3078333,15.88639,10.21833,5.66806,16608077,1680200,503122,1111,97829,643899,:,284824,1547296,21366358,3237479,527160,3401144,345875,7511658,28878016
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Gender,Gender female,1916041,688615548,27373782,20160504,7213278,3.97519,2.92769,1.0475,154421,8.05938,49268591,7484094,4697184,2786910,15.1904,9.53383,5.65657,15911284,1493536,484404,841,95967,633924,:,37124,1264372,19921452,3163504,494845,3148483,321000,7127832,27049284
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major White Total,2894157,1048763318,42481555,31596883,10884672,4.05063,3.01278,1.03786,239865,8.28791,78035061,12232437,7958282,4274155,15.67557,10.19834,5.47722,25129796,2449510,67763,1187,189131,999733,:,256059,2060939,31154118,4786881,754028,4720831,469850,10731590,41885708
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White British,2594698,944308261,37249507,27987672,9261835,3.94463,2.96383,0.98081,201695,7.77335,66642904,10270701,6835904,3434797,15.41154,10.25751,5.15403,22395626,2204993,30166,1085,57979,887767,:,240013,1773559,27591188,4255915,685809,3799419,388216,9129359,36720547
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Irish,10404,3739631,178048,126728,51320,4.76111,3.38878,1.37233,1273,12.23568,397454,71860,40053,31807,18.08008,10.07739,8.00269,94417,9257,355,2,4330,3525,:,762,12890,125538,11661,3854,32083,3235,50833,176371
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Traveller of Irish heritage,4445,1319725,237014,126932,110082,17.95935,9.61806,8.34128,2894,65.10686,816910,209903,109336,100567,25.69475,13.38409,12.31066,53584,4645,473,13,48870,937,:,2240,15519,126281,9021,6409,89021,4567,109018,235299
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Gypsy Roma,16535,5282917,621994,338212,283782,11.77368,6.40199,5.37169,7687,46.48927,2292336,473845,245682,228163,20.67084,10.71754,9.9533,202232,16060,698,3,75740,2696,:,4634,29651,331714,45085,12504,211677,11528,280794,612508
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Any other white background,268075,94112784,4194992,3017339,1177653,4.45741,3.20609,1.25132,26316,9.81666,7885457,1206128,727307,478821,15.2956,9.2234,6.0722,2383937,214555,36071,84,2212,104808,:,8410,229320,2979397,465199,45452,588631,62304,1161586,4140983
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Mixed Total,232547,83009423,3572133,2547504,1024629,4.30329,3.06893,1.23435,23249,9.99755,7374543,1166358,689465,476893,15.816,9.34926,6.46675,1967671,188161,59278,370,564,75639,:,27578,210554,2529815,321289,108008,535467,52331,1017095,3546910
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White and Black Caribbean,61084,21743897,1088141,727940,360201,5.00435,3.34779,1.65656,8220,13.45688,2636993,430468,240561,189907,16.3242,9.12255,7.20165,575995,54513,1423,37,62,14667,:,13776,63859,724332,87456,44923,208170,18118,358667,1082999
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White and Black African,32489,11563034,444525,322910,121615,3.84436,2.79261,1.05176,2638,8.11967,822750,128403,78559,49844,15.60656,9.54834,6.05822,248852,25143,5952,22,35,7982,:,3557,28106,319649,38027,12769,62649,6712,120157,439806
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor White and Asian,54360,19573063,774324,579825,194499,3.95607,2.96236,0.99371,4416,8.12362,1411214,217379,134589,82790,15.40369,9.53711,5.86658,441205,41288,24778,267,53,21694,:,2835,43280,575400,79456,15801,88894,8737,192888,768288
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Any other Mixed background,84614,30129429,1265143,916829,348314,4.19903,3.04297,1.15606,7975,9.42515,2503586,390108,235756,154352,15.58197,9.41673,6.16524,701619,67217,27125,44,414,31296,:,7410,75309,910434,116350,34515,175754,18764,345383,1255817
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Asian Total,419008,149307021,6365738,4674029,1691709,4.26352,3.13048,1.13304,35676,8.5144,11282241,1604948,966597,638351,14.22544,8.56742,5.65802,3321390,289761,646120,158,336,120358,:,7236,270906,4656265,909867,62878,648941,63865,1685551,6341816
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Indian,115409,40931695,1439723,1085263,354460,3.51738,2.6514,0.86598,6579,5.7006,1960671,277719,174869,102850,14.16449,8.91883,5.24565,819980,70138,65741,55,164,44293,:,817,80469,1081657,215280,11423,113741,12768,353212,1434869
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Pakistani,167739,60193007,2926528,2075787,850741,4.86191,3.44855,1.41336,18301,10.9104,5985763,851446,487768,363678,14.22452,8.1488,6.07572,1396245,124562,405588,43,56,38594,:,4693,96894,2066675,462353,31652,324981,28701,847687,2914362
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Bangladeshi,64690,23195036,1074089,819041,255048,4.63068,3.5311,1.09958,6018,9.30283,1957679,274714,177851,96863,14.03264,9.08479,4.94785,610634,47603,108350,18,9,11707,:,859,37510,816690,115241,11008,117367,10476,254092,1070782
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Any other Asian background,71170,24987283,925398,693938,231460,3.70348,2.77716,0.92631,4778,6.7135,1378128,201069,126109,74960,14.59001,9.15075,5.43926,494531,47458,66441,42,107,25764,:,867,56033,691243,116993,8795,92852,11920,230560,921803
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Black Total,224210,78853700,2378238,1702815,675423,3.01601,2.15946,0.85655,12995,5.79591,3631665,580241,331388,248853,15.97727,9.12496,6.85231,1216568,143672,115594,173,86,36224,:,24798,160284,1697399,168478,67830,385976,50568,672852,2370251
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Black Caribbean,41836,14905943,623459,405147,218312,4.18262,2.71802,1.4646,4458,10.65589,1413527,223583,118048,105535,15.81738,8.35131,7.46608,308602,31553,1770,23,25,9005,:,9892,43756,404626,44524,31449,128055,13925,217953,622579
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Black African,151958,53283772,1396893,1050517,346376,2.62161,1.97155,0.65006,6350,4.17879,1587512,253395,155049,98346,15.96177,9.76679,6.19498,726456,91544,104825,134,49,20830,:,10928,91763,1046529,97823,25038,193124,28692,344677,1391206
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minor ethnic groups,Ethnicity Minor Any other black background,30416,10663985,357886,247151,110735,3.35602,2.31762,1.0384,2187,7.19029,630626,103263,58291,44972,16.37468,9.24336,7.13133,181510,20575,8999,16,12,6389,:,3978,24765,246244,26131,11343,64797,7951,110222,356466
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Chinese,17802,6256279,147872,110410,37462,2.36358,1.76479,0.59879,523,2.93787,142810,20541,12050,8491,14.38345,8.43778,5.94566,75586,12260,520,16,147,9365,:,211,11349,109454,24753,1945,8649,1729,37076,146530
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Major ethnic groups,Ethnicity Major Any Other Ethnic Group,74992,25950480,1078553,749542,329011,4.1562,2.88836,1.26784,6561,8.74893,1833390,281390,158171,123219,15.34807,8.62724,6.72083,513419,60936,85538,34,331,23173,:,2802,59566,745799,137443,14121,156193,18068,325825,1071624
Academic year,six half terms,201617,National,E92000001,England,State-funded primary,Minority ethnic total,Ethnicity Minority Ethnic Group,1268018,447831960,18774582,13393511,5381071,4.19233,2.99074,1.20158,117174,9.24072,35656806,5615214,3280049,2335165,15.74794,9.19894,6.549,9828804,939307,944647,853,132616,376725,:,78671,1000039,13301662,2092796,323001,2656638,268195,5340630,18642292
